Job_Title,Education_Level,Risk_Category,Average_Salary,Automation_Probability_2030,AI_Exposure_Index
Teacher,Master's,Low,142581,0.11,0.93
UX Researcher,PhD,Medium,39111,0.65,0.4
Retail Worker,Master's,High,72101,0.76,0.43
Security Guard,Master's,High,117958,0.9,0.99
AI Engineer,Master's,Low,97444,0.14,0.99
AI Engineer,Master's,Low,30077,0.2,0.91
UX Researcher,PhD,Medium,148721,0.52,0.07
Customer Support,PhD,High,127720,0.74,0.71
Data Scientist,PhD,Low,50103,0.61,0.49
Graphic Designer,Bachelor's,Medium,145033,0.36,0.61
Doctor,PhD,Low,95310,0.08,0.07
Mechanic,Master's,Medium,93374,0.38,0.38
Research Scientist,Bachelor's,Low,71914,0.19,0.91
Financial Analyst,High School,Medium,132547,0.37,0.86
UX Researcher,PhD,Medium,119106,0.51,0.29
UX Researcher,PhD,Medium,82603,0.59,0.03
Security Guard,Master's,High,131358,0.88,0.1
Security Guard,Master's,High,83394,0.81,0.18
Nurse,Bachelor's,Low,92516,0.24,0.22
Graphic Designer,Bachelor's,Medium,53752,0.35,0.65
AI Engineer,Master's,Low,108411,0.12,0.11
Chef,Bachelor's,Medium,116145,0.34,0.96
Data Scientist,PhD,Low,124613,0.52,0.48
Marketing Manager,Bachelor's,Low,30060,0.33,0.6
Marketing Manager,Bachelor's,Low,87134,0.59,0.54
Construction Worker,Bachelor's,High,67641,0.84,0.93
Research Scientist,Bachelor's,Low,67265,0.2,0.83
Customer Support,PhD,High,145608,0.85,0.63
Mechanic,Master's,Medium,59629,0.55,0.4
Data Scientist,PhD,Low,85619,0.31,0.23
Software Engineer,PhD,Low,136506,0.7,0.61
Research Scientist,Bachelor's,Low,148533,0.27,0.06
Financial Analyst,High School,Medium,105758,0.34,0.59
Marketing Manager,Bachelor's,Low,55559,0.59,0.37
Financial Analyst,High School,Medium,31591,0.41,0.68
Financial Analyst,High School,Medium,32469,0.65,0.16
Marketing Manager,Bachelor's,Low,117263,0.55,0.62
Retail Worker,Master's,High,121357,0.87,0.1
Nurse,Bachelor's,Low,54860,0.24,0.75
Retail Worker,Master's,High,36540,0.87,0.16
Retail Worker,Master's,High,58602,0.95,0.4
Lawyer,Master's,Medium,69341,0.61,0.87
Doctor,PhD,Low,41536,0.1,0.69
Marketing Manager,Bachelor's,Low,113309,0.58,0.6
AI Engineer,Master's,Low,78787,0.13,0.56
Graphic Designer,Bachelor's,Medium,98577,0.55,0.17
Construction Worker,Bachelor's,High,54826,0.85,0.66
Marketing Manager,Bachelor's,Low,61890,0.65,0.47
HR Specialist,Bachelor's,Medium,75500,0.64,0.42
Truck Driver,Master's,High,95128,0.85,0.03
UX Researcher,PhD,Medium,49975,0.4,0.91
Chef,Bachelor's,Medium,75893,0.4,0.39
HR Specialist,Bachelor's,Medium,106619,0.54,0.15
HR Specialist,Bachelor's,Medium,113310,0.31,0.56
AI Engineer,Master's,Low,55611,0.22,0.4
Truck Driver,Master's,High,108131,0.74,0.94
Research Scientist,Bachelor's,Low,58625,0.24,0.83
Lawyer,Master's,Medium,47087,0.7,0.32
Customer Support,PhD,High,143942,0.77,0.87
Mechanic,Master's,Medium,109973,0.56,0.59
Truck Driver,Master's,High,57598,0.84,0.48
Doctor,PhD,Low,75379,0.09,0.48
HR Specialist,Bachelor's,Medium,130441,0.64,0.52
UX Researcher,PhD,Medium,72668,0.56,0.11
Data Scientist,PhD,Low,140641,0.57,0.82
Marketing Manager,Bachelor's,Low,46014,0.39,0.61
Data Scientist,PhD,Low,92438,0.59,0.13
Doctor,PhD,Low,102240,0.11,0.07
Truck Driver,Master's,High,39686,0.72,0.33
Mechanic,Master's,Medium,40754,0.69,0.38
Retail Worker,Master's,High,40699,0.73,0.16
HR Specialist,Bachelor's,Medium,120373,0.53,0.79
Software Engineer,PhD,Low,70461,0.36,0.32
HR Specialist,Bachelor's,Medium,103965,0.63,0.32
Research Scientist,Bachelor's,Low,58179,0.05,0.28
Doctor,PhD,Low,125694,0.07,0.43
Chef,Bachelor's,Medium,128723,0.62,0.85
Financial Analyst,High School,Medium,36548,0.57,0.79
Research Scientist,Bachelor's,Low,40634,0.17,0.84
HR Specialist,Bachelor's,Medium,62784,0.48,0.32
Nurse,Bachelor's,Low,37099,0.23,0.52
Graphic Designer,Bachelor's,Medium,74857,0.68,0.99
Data Scientist,PhD,Low,91063,0.38,0.62
Security Guard,Master's,High,89765,0.9,0.58
Mechanic,Master's,Medium,32461,0.65,0.12
Teacher,Master's,Low,53911,0.09,0.78
Financial Analyst,High School,Medium,50567,0.54,0.73
Marketing Manager,Bachelor's,Low,52656,0.34,0.73
Research Scientist,Bachelor's,Low,77701,0.24,0.76
Graphic Designer,Bachelor's,Medium,137539,0.46,0.89
Research Scientist,Bachelor's,Low,46087,0.19,0.58
Lawyer,Master's,Medium,67861,0.48,0.79
Construction Worker,Bachelor's,High,89792,0.73,0.64
Chef,Bachelor's,Medium,36397,0.42,0.27
Data Scientist,PhD,Low,49715,0.47,0.73
Lawyer,Master's,Medium,122573,0.66,0.26
Graphic Designer,Bachelor's,Medium,133864,0.44,0.53
Chef,Bachelor's,Medium,48745,0.38,0.26
Doctor,PhD,Low,49446,0.27,0.52
Nurse,Bachelor's,Low,98673,0.21,0.46
Customer Support,PhD,High,93870,0.75,0.76
Financial Analyst,High School,Medium,72951,0.34,0.54
Construction Worker,Bachelor's,High,37239,0.92,0.64
Customer Support,PhD,High,149798,0.74,0.89
Security Guard,Master's,High,149052,0.81,0.17
Teacher,Master's,Low,39587,0.13,0.54
Marketing Manager,Bachelor's,Low,120301,0.44,0.24
HR Specialist,Bachelor's,Medium,117969,0.57,0.31
Security Guard,Master's,High,39528,0.93,0.41
Teacher,Master's,Low,95677,0.15,0.38
HR Specialist,Bachelor's,Medium,51778,0.55,0.84
Lawyer,Master's,Medium,36816,0.33,0.28
Research Scientist,Bachelor's,Low,53567,0.16,0.84
Lawyer,Master's,Medium,121170,0.31,0.06
AI Engineer,Master's,Low,91944,0.08,0.64
Security Guard,Master's,High,123905,0.93,0.04
Teacher,Master's,Low,73056,0.26,0.05
Truck Driver,Master's,High,89156,0.71,0.88
Marketing Manager,Bachelor's,Low,102124,0.68,0.3
Doctor,PhD,Low,54995,0.19,0.09
Mechanic,Master's,Medium,100194,0.37,0.12
Lawyer,Master's,Medium,97534,0.39,0.91
UX Researcher,PhD,Medium,123547,0.53,0.38
AI Engineer,Master's,Low,111926,0.29,0.04
HR Specialist,Bachelor's,Medium,107487,0.34,0.58
HR Specialist,Bachelor's,Medium,107362,0.5,0.31
Financial Analyst,High School,Medium,44973,0.61,0.03
Research Scientist,Bachelor's,Low,30340,0.26,0.68
Doctor,PhD,Low,104965,0.23,0.79
Truck Driver,Master's,High,74789,0.87,0.55
Security Guard,Master's,High,88954,0.85,0.56
Teacher,Master's,Low,78456,0.26,0.85
Financial Analyst,High School,Medium,116698,0.42,0.69
Chef,Bachelor's,Medium,40886,0.6,0.74
AI Engineer,Master's,Low,78511,0.14,0.41
AI Engineer,Master's,Low,136127,0.15,0.05
Truck Driver,Master's,High,45592,0.79,0.98
Security Guard,Master's,High,134859,0.84,0.82
Nurse,Bachelor's,Low,119678,0.06,0
UX Researcher,PhD,Medium,62402,0.62,0.84
Mechanic,Master's,Medium,53478,0.65,0.14
Lawyer,Master's,Medium,52005,0.49,0.39
Security Guard,Master's,High,82389,0.9,0.73
Chef,Bachelor's,Medium,84336,0.57,0.09
Financial Analyst,High School,Medium,112594,0.66,0.74
Security Guard,Master's,High,85243,0.8,0.58
UX Researcher,PhD,Medium,85668,0.57,0.55
Software Engineer,PhD,Low,82428,0.53,0.06
Data Scientist,PhD,Low,107240,0.41,0.85
UX Researcher,PhD,Medium,120270,0.67,0.69
AI Engineer,Master's,Low,74605,0.1,0.76
UX Researcher,PhD,Medium,140059,0.5,0.11
Mechanic,Master's,Medium,96155,0.58,0.73
Construction Worker,Bachelor's,High,131971,0.85,0.76
Teacher,Master's,Low,57413,0.27,0.25
Software Engineer,PhD,Low,138125,0.41,0.06
HR Specialist,Bachelor's,Medium,42602,0.68,0.75
Research Scientist,Bachelor's,Low,110070,0.15,0.9
UX Researcher,PhD,Medium,50954,0.48,0.3
Customer Support,PhD,High,118691,0.84,0.93
Lawyer,Master's,Medium,120453,0.59,0.19
Software Engineer,PhD,Low,37214,0.6,0.41
Research Scientist,Bachelor's,Low,139269,0.21,0.36
Construction Worker,Bachelor's,High,119285,0.91,0.12
Research Scientist,Bachelor's,Low,122268,0.17,0.55
Customer Support,PhD,High,118791,0.83,0.5
Customer Support,PhD,High,86408,0.78,0.68
Financial Analyst,High School,Medium,136464,0.38,0.02
Graphic Designer,Bachelor's,Medium,56049,0.56,0.37
Graphic Designer,Bachelor's,Medium,84845,0.52,0.98
Graphic Designer,Bachelor's,Medium,133937,0.36,0.55
AI Engineer,Master's,Low,143557,0.16,0.37
Data Scientist,PhD,Low,32994,0.55,0.01
Truck Driver,Master's,High,54351,0.7,0.98
Teacher,Master's,Low,74816,0.23,0.64
Financial Analyst,High School,Medium,103788,0.57,0.73
Teacher,Master's,Low,40103,0.14,0.52
Marketing Manager,Bachelor's,Low,34458,0.48,0.71
Construction Worker,Bachelor's,High,59493,0.89,0.93
Data Scientist,PhD,Low,93059,0.42,0.11
Graphic Designer,Bachelor's,Medium,121683,0.68,0.35
Lawyer,Master's,Medium,46322,0.36,0.44
Software Engineer,PhD,Low,100293,0.37,0.08
Truck Driver,Master's,High,79298,0.85,0.22
Construction Worker,Bachelor's,High,73937,0.85,0.53
Lawyer,Master's,Medium,146464,0.49,0.79
Retail Worker,Master's,High,106274,0.81,0.33
Chef,Bachelor's,Medium,32581,0.69,0.39
Truck Driver,Master's,High,142309,0.79,0.37
Marketing Manager,Bachelor's,Low,85612,0.61,0.55
Truck Driver,Master's,High,65710,0.76,0.39
Security Guard,Master's,High,46999,0.92,0.19
Customer Support,PhD,High,142701,0.89,0.53
Teacher,Master's,Low,54031,0.24,0.98
Software Engineer,PhD,Low,115679,0.51,0.43
Mechanic,Master's,Medium,63724,0.7,0.81
UX Researcher,PhD,Medium,131154,0.55,0.01
Mechanic,Master's,Medium,100014,0.46,0.44
Nurse,Bachelor's,Low,35232,0.06,0.72
Graphic Designer,Bachelor's,Medium,114425,0.54,0.16
Research Scientist,Bachelor's,Low,116795,0.18,0.8
Customer Support,PhD,High,53559,0.85,0.42
Construction Worker,Bachelor's,High,94418,0.86,0.03
Data Scientist,PhD,Low,117954,0.38,0.39
Mechanic,Master's,Medium,105831,0.42,0.8
HR Specialist,Bachelor's,Medium,48814,0.49,0.15
Research Scientist,Bachelor's,Low,147904,0.26,0.46
Chef,Bachelor's,Medium,116694,0.45,0.99
Security Guard,Master's,High,74739,0.75,0.76
AI Engineer,Master's,Low,110357,0.26,0.85
Lawyer,Master's,Medium,44079,0.53,0.34
UX Researcher,PhD,Medium,103648,0.41,0.38
UX Researcher,PhD,Medium,143892,0.55,0.77
Data Scientist,PhD,Low,135296,0.49,0.23
Retail Worker,Master's,High,66639,0.93,0.47
Graphic Designer,Bachelor's,Medium,105476,0.45,0.84
UX Researcher,PhD,Medium,71830,0.38,0.6
Software Engineer,PhD,Low,129555,0.41,0.44
HR Specialist,Bachelor's,Medium,91576,0.36,0.16
Data Scientist,PhD,Low,137524,0.3,0.76
Retail Worker,Master's,High,148360,0.81,0.18
Research Scientist,Bachelor's,Low,55464,0.14,0.55
Data Scientist,PhD,Low,85798,0.53,0.8
Research Scientist,Bachelor's,Low,133243,0.12,0.17
AI Engineer,Master's,Low,84710,0.11,0.23
UX Researcher,PhD,Medium,38848,0.64,0.47
Teacher,Master's,Low,95942,0.13,0.6
Graphic Designer,Bachelor's,Medium,45086,0.39,0.69
Doctor,PhD,Low,39343,0.12,0.28
Marketing Manager,Bachelor's,Low,89550,0.32,0.31
Graphic Designer,Bachelor's,Medium,70317,0.68,0.66
Financial Analyst,High School,Medium,102055,0.59,0.56
Data Scientist,PhD,Low,145660,0.38,0.78
Data Scientist,PhD,Low,64785,0.62,0.57
Graphic Designer,Bachelor's,Medium,70149,0.41,0.3
Mechanic,Master's,Medium,100122,0.45,0.25
HR Specialist,Bachelor's,Medium,46524,0.43,0.16
Mechanic,Master's,Medium,82347,0.46,0.44
Research Scientist,Bachelor's,Low,71743,0.15,0.06
HR Specialist,Bachelor's,Medium,118302,0.63,0.83
Financial Analyst,High School,Medium,96706,0.53,0.79
Graphic Designer,Bachelor's,Medium,95780,0.34,0.28
Software Engineer,PhD,Low,78899,0.34,0.06
Chef,Bachelor's,Medium,92559,0.43,0.46
Security Guard,Master's,High,140168,0.71,0.41
Software Engineer,PhD,Low,143857,0.37,0.81
Customer Support,PhD,High,37189,0.85,0.78
Mechanic,Master's,Medium,91158,0.57,0.73
Construction Worker,Bachelor's,High,52394,0.88,0.12
Nurse,Bachelor's,Low,50245,0.11,0.61
Graphic Designer,Bachelor's,Medium,48624,0.5,0.48
AI Engineer,Master's,Low,46626,0.25,0.99
Teacher,Master's,Low,74950,0.21,0.28
Construction Worker,Bachelor's,High,130211,0.94,0.65
Chef,Bachelor's,Medium,117460,0.69,0.73
Truck Driver,Master's,High,115489,0.9,0.58
Software Engineer,PhD,Low,143880,0.55,0
Security Guard,Master's,High,41569,0.74,0.87
UX Researcher,PhD,Medium,147027,0.54,0.53
Customer Support,PhD,High,111384,0.9,0.2
Graphic Designer,Bachelor's,Medium,107463,0.7,0.47
Mechanic,Master's,Medium,74148,0.35,0.61
Retail Worker,Master's,High,59793,0.93,0.07
Marketing Manager,Bachelor's,Low,102095,0.51,0.6
Doctor,PhD,Low,112508,0.26,0.48
Software Engineer,PhD,Low,97598,0.52,0.04
HR Specialist,Bachelor's,Medium,98472,0.68,0.99
Financial Analyst,High School,Medium,108291,0.34,0.34
HR Specialist,Bachelor's,Medium,130342,0.33,0.48
Teacher,Master's,Low,73894,0.13,0.18
Chef,Bachelor's,Medium,49023,0.7,0.4
AI Engineer,Master's,Low,34758,0.15,0.67
Customer Support,PhD,High,47065,0.77,0.78
Research Scientist,Bachelor's,Low,53464,0.17,0.29
UX Researcher,PhD,Medium,102572,0.38,0.52
Construction Worker,Bachelor's,High,67344,0.8,0.18
Truck Driver,Master's,High,122759,0.8,0.36
Customer Support,PhD,High,66444,0.75,0.02
Software Engineer,PhD,Low,46932,0.5,0.91
Research Scientist,Bachelor's,Low,55363,0.29,0.05
Doctor,PhD,Low,30893,0.26,0.92
Graphic Designer,Bachelor's,Medium,84962,0.49,0.08
Mechanic,Master's,Medium,94173,0.42,0.23
Research Scientist,Bachelor's,Low,82949,0.2,0.8
Construction Worker,Bachelor's,High,141738,0.8,0.68
Research Scientist,Bachelor's,Low,80492,0.2,0.3
Mechanic,Master's,Medium,117527,0.52,0.14
Teacher,Master's,Low,83639,0.22,0.25
Data Scientist,PhD,Low,66993,0.54,0.51
Security Guard,Master's,High,61551,0.73,0.74
Research Scientist,Bachelor's,Low,63896,0.11,0.04
Customer Support,PhD,High,63686,0.82,0.01
Chef,Bachelor's,Medium,147256,0.35,0.33
Construction Worker,Bachelor's,High,103531,0.94,0.36
Lawyer,Master's,Medium,53991,0.43,0.72
Lawyer,Master's,Medium,39269,0.63,0.21
Financial Analyst,High School,Medium,149391,0.48,0.7
AI Engineer,Master's,Low,124598,0.06,0.95
Retail Worker,Master's,High,89470,0.93,0.19
Retail Worker,Master's,High,34321,0.73,0.81
Graphic Designer,Bachelor's,Medium,50977,0.65,0.18
Truck Driver,Master's,High,62167,0.93,0.3
Customer Support,PhD,High,108518,0.75,0.55
UX Researcher,PhD,Medium,93752,0.39,0.26
Security Guard,Master's,High,77691,0.9,0.31
Doctor,PhD,Low,59813,0.17,0.39
Graphic Designer,Bachelor's,Medium,95603,0.62,0.4
Graphic Designer,Bachelor's,Medium,118150,0.36,0.33
Truck Driver,Master's,High,31996,0.9,0.12
Construction Worker,Bachelor's,High,108015,0.83,0.17
Chef,Bachelor's,Medium,59709,0.4,0.93
Software Engineer,PhD,Low,33203,0.6,0.73
Marketing Manager,Bachelor's,Low,39327,0.5,0.77
Construction Worker,Bachelor's,High,37868,0.71,0.32
UX Researcher,PhD,Medium,76097,0.64,0.75
Lawyer,Master's,Medium,117838,0.4,0.44
Lawyer,Master's,Medium,136931,0.65,0.97
HR Specialist,Bachelor's,Medium,76900,0.54,0.49
Mechanic,Master's,Medium,41221,0.67,0.08
Security Guard,Master's,High,30654,0.8,0.48
Graphic Designer,Bachelor's,Medium,112928,0.68,0.85
Teacher,Master's,Low,99444,0.08,0.63
Research Scientist,Bachelor's,Low,115092,0.23,0.2
Financial Analyst,High School,Medium,123122,0.68,0.87
AI Engineer,Master's,Low,49177,0.15,0.17
Research Scientist,Bachelor's,Low,107360,0.18,0.13
Mechanic,Master's,Medium,132877,0.58,0.48
HR Specialist,Bachelor's,Medium,73158,0.5,0.31
Research Scientist,Bachelor's,Low,87889,0.17,0.34
Retail Worker,Master's,High,136196,0.73,0.02
Financial Analyst,High School,Medium,133801,0.66,0.39
Security Guard,Master's,High,109557,0.95,0.28
Teacher,Master's,Low,54502,0.19,0.94
Graphic Designer,Bachelor's,Medium,128878,0.7,0.69
AI Engineer,Master's,Low,136802,0.3,0.69
AI Engineer,Master's,Low,80901,0.11,0.34
Marketing Manager,Bachelor's,Low,96214,0.53,0.57
Financial Analyst,High School,Medium,104755,0.43,0.97
Mechanic,Master's,Medium,134580,0.69,0.19
Mechanic,Master's,Medium,63477,0.38,0.6
Software Engineer,PhD,Low,142134,0.42,0.54
Doctor,PhD,Low,119080,0.12,0.07
Customer Support,PhD,High,42467,0.89,0.33
Data Scientist,PhD,Low,100601,0.53,0.4
Customer Support,PhD,High,148764,0.86,0.93
Nurse,Bachelor's,Low,113795,0.17,0.44
Chef,Bachelor's,Medium,45994,0.34,1
AI Engineer,Master's,Low,66701,0.16,0.62
Teacher,Master's,Low,63785,0.25,0.44
Lawyer,Master's,Medium,122282,0.4,0.51
HR Specialist,Bachelor's,Medium,30229,0.46,0.95
Nurse,Bachelor's,Low,45620,0.05,0.67
Doctor,PhD,Low,68104,0.22,0.35
Data Scientist,PhD,Low,78733,0.65,0.75
Data Scientist,PhD,Low,33320,0.59,0.27
Data Scientist,PhD,Low,137648,0.34,0.63
Chef,Bachelor's,Medium,53104,0.31,0.31
Retail Worker,Master's,High,69451,0.86,0.91
Financial Analyst,High School,Medium,104854,0.4,0.35
Marketing Manager,Bachelor's,Low,35147,0.42,0.3
Graphic Designer,Bachelor's,Medium,68563,0.44,0.92
AI Engineer,Master's,Low,133496,0.05,0.34
Security Guard,Master's,High,79692,0.84,0.22
Nurse,Bachelor's,Low,135585,0.25,0.35
Marketing Manager,Bachelor's,Low,59545,0.3,0.91
Data Scientist,PhD,Low,138777,0.41,0.3
Chef,Bachelor's,Medium,88760,0.35,0.07
Chef,Bachelor's,Medium,106870,0.31,0.58
Research Scientist,Bachelor's,Low,32147,0.12,0.03
Software Engineer,PhD,Low,140463,0.55,0.69
Truck Driver,Master's,High,148623,0.72,0.35
Research Scientist,Bachelor's,Low,49360,0.12,0.44
UX Researcher,PhD,Medium,45605,0.55,0.49
UX Researcher,PhD,Medium,103953,0.45,0.93
Marketing Manager,Bachelor's,Low,76531,0.47,0.97
Construction Worker,Bachelor's,High,139198,0.79,0.21
Financial Analyst,High School,Medium,111199,0.66,0.12
UX Researcher,PhD,Medium,65321,0.39,0.22
Lawyer,Master's,Medium,77218,0.4,0.54
Data Scientist,PhD,Low,39752,0.43,0.77
AI Engineer,Master's,Low,34792,0.28,0.12
Data Scientist,PhD,Low,44591,0.35,0.26
Data Scientist,PhD,Low,35424,0.35,0.87
Data Scientist,PhD,Low,89789,0.5,0.39
Security Guard,Master's,High,38804,0.76,0.33
Marketing Manager,Bachelor's,Low,58400,0.4,0.97
Graphic Designer,Bachelor's,Medium,129525,0.64,0.74
Teacher,Master's,Low,145183,0.14,0.94
Chef,Bachelor's,Medium,82066,0.61,1
Graphic Designer,Bachelor's,Medium,59059,0.62,0.93
Research Scientist,Bachelor's,Low,57499,0.18,0.17
Financial Analyst,High School,Medium,122103,0.56,0.2
Teacher,Master's,Low,47806,0.08,0.51
UX Researcher,PhD,Medium,104702,0.67,0.64
Teacher,Master's,Low,37373,0.27,0.79
Graphic Designer,Bachelor's,Medium,98519,0.32,0.81
Retail Worker,Master's,High,72578,0.8,0.35
Security Guard,Master's,High,94280,0.78,0.89
Lawyer,Master's,Medium,43777,0.65,0.9
Nurse,Bachelor's,Low,81040,0.25,0.85
Chef,Bachelor's,Medium,97313,0.58,0.72
Mechanic,Master's,Medium,59092,0.54,0.01
UX Researcher,PhD,Medium,66613,0.33,0.71
Research Scientist,Bachelor's,Low,40292,0.15,0.09
Nurse,Bachelor's,Low,111335,0.09,0.27
Research Scientist,Bachelor's,Low,86747,0.11,0.54
Chef,Bachelor's,Medium,129318,0.32,0.58
Nurse,Bachelor's,Low,38789,0.21,0.65
UX Researcher,PhD,Medium,85823,0.31,0.66
AI Engineer,Master's,Low,123286,0.27,0.8
Financial Analyst,High School,Medium,63161,0.55,0.49
Data Scientist,PhD,Low,103889,0.42,0.62
Nurse,Bachelor's,Low,135584,0.29,0.69
Software Engineer,PhD,Low,50968,0.55,0.65
Mechanic,Master's,Medium,137814,0.58,0.28
Mechanic,Master's,Medium,83015,0.41,0.04
Data Scientist,PhD,Low,86862,0.59,0.21
Nurse,Bachelor's,Low,115501,0.07,0.93
Mechanic,Master's,Medium,141768,0.36,0.56
Truck Driver,Master's,High,53524,0.75,0.24
Doctor,PhD,Low,38419,0.28,0.08
Graphic Designer,Bachelor's,Medium,94800,0.48,0.19
Lawyer,Master's,Medium,111976,0.51,0.37
Construction Worker,Bachelor's,High,67909,0.83,0.2
AI Engineer,Master's,Low,46934,0.22,0.41
Financial Analyst,High School,Medium,41586,0.66,0.27
Financial Analyst,High School,Medium,77013,0.53,0.13
UX Researcher,PhD,Medium,133693,0.35,0.25
Research Scientist,Bachelor's,Low,78825,0.19,0.37
Software Engineer,PhD,Low,131505,0.45,0.57
Truck Driver,Master's,High,90107,0.72,0.86
HR Specialist,Bachelor's,Medium,71916,0.48,0.96
Retail Worker,Master's,High,129794,0.82,0.57
Research Scientist,Bachelor's,Low,82186,0.17,0.18
Chef,Bachelor's,Medium,72531,0.32,0.51
Construction Worker,Bachelor's,High,127596,0.9,0.87
Retail Worker,Master's,High,124826,0.73,0.53
Teacher,Master's,Low,48320,0.08,0.8
Financial Analyst,High School,Medium,62449,0.42,0.12
Security Guard,Master's,High,84097,0.83,0.72
Construction Worker,Bachelor's,High,64629,0.93,0.63
Chef,Bachelor's,Medium,38859,0.55,0.5
Chef,Bachelor's,Medium,40082,0.38,0.94
UX Researcher,PhD,Medium,136153,0.39,0.32
Construction Worker,Bachelor's,High,70612,0.79,0.93
Software Engineer,PhD,Low,118444,0.59,0.38
Research Scientist,Bachelor's,Low,94204,0.05,0.59
Doctor,PhD,Low,39852,0.15,0.89
Nurse,Bachelor's,Low,144476,0.07,0.41
Software Engineer,PhD,Low,128336,0.49,0.35
HR Specialist,Bachelor's,Medium,77598,0.63,0.46
Research Scientist,Bachelor's,Low,60628,0.2,0.02
Data Scientist,PhD,Low,96188,0.59,0.4
Marketing Manager,Bachelor's,Low,42516,0.5,0.27
AI Engineer,Master's,Low,54722,0.27,0.27
Lawyer,Master's,Medium,58743,0.51,0.24
Doctor,PhD,Low,31695,0.21,0.43
Customer Support,PhD,High,93294,0.76,0.84
Research Scientist,Bachelor's,Low,116310,0.15,0.72
Nurse,Bachelor's,Low,60615,0.07,0.41
Data Scientist,PhD,Low,64568,0.56,0.74
Research Scientist,Bachelor's,Low,34507,0.26,0.89
Nurse,Bachelor's,Low,58343,0.11,0.46
Research Scientist,Bachelor's,Low,84544,0.24,0.41
Nurse,Bachelor's,Low,112790,0.24,0.54
Chef,Bachelor's,Medium,99918,0.37,0.79
Customer Support,PhD,High,47290,0.94,0.3
Chef,Bachelor's,Medium,78002,0.47,0.87
UX Researcher,PhD,Medium,39372,0.66,0.91
Doctor,PhD,Low,87911,0.16,0.08
Teacher,Master's,Low,87920,0.08,0.66
Doctor,PhD,Low,86768,0.27,0.64
Security Guard,Master's,High,43866,0.74,0.48
Security Guard,Master's,High,133627,0.75,0.61
Security Guard,Master's,High,45700,0.75,0.78
Research Scientist,Bachelor's,Low,112799,0.05,0.56
Software Engineer,PhD,Low,74458,0.36,0.19
Nurse,Bachelor's,Low,50125,0.22,0.25
Mechanic,Master's,Medium,78926,0.52,0.18
Graphic Designer,Bachelor's,Medium,138778,0.43,0.51
Retail Worker,Master's,High,30671,0.75,0.62
HR Specialist,Bachelor's,Medium,114153,0.38,0.02
Chef,Bachelor's,Medium,69574,0.51,0.65
HR Specialist,Bachelor's,Medium,144616,0.45,0.37
Construction Worker,Bachelor's,High,144313,0.81,0.01
AI Engineer,Master's,Low,79047,0.12,0.69
Retail Worker,Master's,High,116649,0.92,0.68
HR Specialist,Bachelor's,Medium,131192,0.56,0.32
HR Specialist,Bachelor's,Medium,84165,0.31,0.46
Financial Analyst,High School,Medium,132488,0.34,0.94
Truck Driver,Master's,High,57757,0.77,0.63
Marketing Manager,Bachelor's,Low,106095,0.5,0.22
